workout_type,gender_target,location,workout_name,primary_focus,equipment,difficulty,suggested_volume,notes,is_active
cardio,male,gym,Đi bộ dốc trên máy chạy bộ,Đốt mỡ / sức bền,Máy chạy bộ,beginner,20-30 min,Ít tác động ổn định cardio,1
cardio,male,gym,Chạy trên máy chạy bộ,Sức bền,Máy chạy bộ,intermediate,15-25 min,Tăng tốc độ dần,1
cardio,male,gym,Máy chèo thuyền,Cardio toàn thân,Máy chèo thuyền,intermediate,12-20 min,Rất tốt để tăng thể lực,1
cardio,male,gym,Nước rút trên air bike,Điều hòa yếm khí,Xe air bike,advanced,10 x 20s sprint,Các hiệp cường độ cao,1
cardio,male,gym,Leo cầu thang máy,Sức bền chân,Máy leo cầu thang,intermediate,15-20 min,Giữ nhịp tim ở mức cao,1
cardio,male,gym,Đạp elliptical,Cardio ít tác động,Máy elliptical,beginner,20-30 min,Thân thiện với khớp,1
cardio,male,gym,Đẩy xe kéo tạ,Cardio sức mạnh,Xe kéo tạ,advanced,8-10 rounds,Thể lực bùng nổ,1
cardio,male,gym,Battle rope ngắt quãng,Điều hòa thân trên,Dây battle rope,intermediate,10 x 30s,Giữ core siết chặt,1
cardio,male,gym,Dây nhảy,Phối hợp / cardio,Dây nhảy,intermediate,10-15 min,Các hiệp ngắn cường độ cao,1
cardio,male,gym,Máy ski erg,Cardio thân trên + core,Máy ski erg,intermediate,12-18 min,Nhịp vận động toàn thân,1
cardio,female,gym,Đi bộ dốc trên máy chạy bộ,Đốt mỡ / sức bền,Máy chạy bộ,beginner,20-35 min,Lựa chọn cardio ổn định rất tốt,1
cardio,female,gym,Đạp elliptical,Cardio ít tác động,Máy elliptical,beginner,20-30 min,Êm hơn cho khớp,1
cardio,female,gym,Xe đạp cố định,Cardio / chân,Xe đạp,beginner,20-30 min,Dễ kiểm soát cường độ,1
cardio,female,gym,Leo cầu thang máy,Mông / cardio,Máy leo cầu thang,intermediate,12-20 min,Tập trung đốt phần thân dưới,1
cardio,female,gym,Máy chèo thuyền,Cardio toàn thân,Máy chèo thuyền,intermediate,12-18 min,Giữ nhịp kéo mượt mà,1
cardio,female,gym,Arc trainer,Ít tác động conditioning,Arc trainer,beginner,20-25 min,Full-body movement,1
cardio,female,gym,Dance cardio class,Cardio / coordination,Studio class,beginner,30-45 min,Lựa chọn vui và dễ duy trì,1
cardio,female,gym,Air bike ngắt quãng,Conditioning,Xe air bike,intermediate,8 x 30s,Progress gradually,1
cardio,female,gym,Dây nhảy,Cardio / nhanh nhẹn,Dây nhảy,intermediate,8-12 min,Dùng các hiệp ngắn hơn,1
cardio,female,gym,Máy ski erg,Cardio thân trên + core,Máy ski erg,intermediate,10-15 min,Good posture throughout,1
