meal_name,meal_type,budget_tier,goal_type,calories,estimated_cost,is_active
Yến mạch nấu chuối và 1 trứng luộc,breakfast,saving,lose,340,12000,1
Bánh mì trứng + dưa leo,breakfast,saving,lose,360,15000,1
Khoai lang luộc + sữa đậu nành không đường,breakfast,saving,lose,320,14000,1
Cháo yến mạch thịt bằm,breakfast,saving,lose,350,18000,1
Bún gà xé ít bún nhiều rau,breakfast,saving,lose,390,22000,1
Cơm gạo lứt + ức gà áp chảo + cà chua,breakfast,saving,lose,420,24000,1
2 trứng luộc + chuối + sữa chua không đường,breakfast,saving,lose,330,18000,1
Bánh mì ức gà xé sốt sữa chua,breakfast,saving,lose,380,22000,1
Miến gà nấm ít dầu,breakfast,saving,lose,370,23000,1
Phở gà phần nhỏ thêm rau,breakfast,saving,lose,400,25000,1
Bún cá phần nhỏ,breakfast,saving,lose,390,24000,1
Yến mạch qua đêm với táo,breakfast,saving,lose,310,16000,1
Sữa chua trái cây ít ngọt + hạt chia,breakfast,saving,lose,300,18000,1
Bánh mì cá hộp ngâm nước + xà lách,breakfast,saving,lose,390,22000,1
Cơm + trứng ốp la + rau luộc,breakfast,saving,lose,410,17000,1
Cháo đậu xanh ức gà xé,breakfast,saving,lose,360,19000,1
Khoai lang nướng + 2 lòng trắng trứng + 1 lòng đỏ,breakfast,saving,lose,300,15000,1
Bún riêu phần nhỏ,breakfast,saving,lose,380,22000,1
Hủ tiếu thịt nạc phần nhỏ,breakfast,saving,lose,400,25000,1
Yến mạch sữa tươi không đường + dâu,breakfast,saving,lose,320,18000,1
Bắp luộc + trứng luộc + sữa chua,breakfast,saving,lose,310,16000,1
Bánh cuốn ít chả + rau sống,breakfast,saving,lose,390,23000,1
Cháo cá và rau thì là,breakfast,saving,lose,350,22000,1
Bún thịt nạc nướng ít bún nhiều rau,breakfast,saving,lose,420,25000,1
Cơm nắm gạo lứt + cá ngừ,breakfast,saving,lose,340,20000,1
Cơm gạo lứt + ức gà luộc + bông cải,lunch,saving,lose,520,28000,1
